medicine_id,medicine_name,category,hospital_id,total_stock,issued_stock,expiry_date
MED001,Paracetamol,Painkiller,H01,4077,4043,2026-06-23
MED002,Insulin,Diabetes,H01,4802,3541,2026-06-16
MED003,Ceftriaxone,Antibiotic,H01,1044,1004,2026-03-14
MED004,Morphine,Critical Care,H01,2242,1651,2026-01-05
MED005,Heparin,Critical Care,H01,4191,3960,2026-04-24
MED006,Amoxicillin,Antibiotic,H01,1619,1555,2025-08-14
MED007,Salbutamol,Respiratory,H01,4521,3632,2026-03-12
MED008,Metformin,Diabetes,H01,5660,4097,2025-09-22
MED009,Aspirin,Painkiller,H01,2055,1624,2025-12-04
MED010,Atorvastatin,Cardiac,H01,2397,2346,2026-02-24
MED001,Paracetamol,Painkiller,H02,2222,1814,2025-12-10
MED002,Insulin,Diabetes,H02,5130,4394,2026-02-04
MED003,Ceftriaxone,Antibiotic,H02,3946,3235,2025-09-28
MED004,Morphine,Critical Care,H02,1593,1176,2026-02-28
MED005,Heparin,Critical Care,H02,2116,1819,2026-04-27
MED006,Amoxicillin,Antibiotic,H02,1035,966,2026-02-05
MED007,Salbutamol,Respiratory,H02,2284,1906,2025-08-03
MED008,Metformin,Diabetes,H02,2736,2094,2026-02-15
MED009,Aspirin,Painkiller,H02,1763,1482,2025-12-11
MED010,Atorvastatin,Cardiac,H02,3504,3202,2026-03-06
MED001,Paracetamol,Painkiller,H03,2293,1936,2025-08-14
MED002,Insulin,Diabetes,H03,1779,1497,2026-02-01
MED003,Ceftriaxone,Antibiotic,H03,1082,1080,2025-12-01
MED004,Morphine,Critical Care,H03,1999,1463,2025-11-18
MED005,Heparin,Critical Care,H03,4874,4377,2025-12-08
MED006,Amoxicillin,Antibiotic,H03,5427,4922,2025-08-11
MED007,Salbutamol,Respiratory,H03,4253,4138,2026-02-24
MED008,Metformin,Diabetes,H03,3115,2434,2026-03-08
MED009,Aspirin,Painkiller,H03,1143,1060,2026-04-19
MED010,Atorvastatin,Cardiac,H03,4727,4620,2025-09-15
MED001,Paracetamol,Painkiller,H04,732,582,2026-01-21
MED002,Insulin,Diabetes,H04,4206,3892,2025-12-09
MED003,Ceftriaxone,Antibiotic,H04,654,509,2025-09-12
MED004,Morphine,Critical Care,H04,2265,1789,2026-02-05
MED005,Heparin,Critical Care,H04,971,856,2026-02-15
MED006,Amoxicillin,Antibiotic,H04,5910,4524,2026-06-12
MED007,Salbutamol,Respiratory,H04,5581,4321,2025-11-25
MED008,Metformin,Diabetes,H04,3582,2613,2026-01-04
MED009,Aspirin,Painkiller,H04,3904,2976,2026-02-11
MED010,Atorvastatin,Cardiac,H04,4355,3113,2025-10-07
MED001,Paracetamol,Painkiller,H05,332,246,2025-10-02
MED002,Insulin,Diabetes,H05,4282,3211,2025-10-04
MED003,Ceftriaxone,Antibiotic,H05,3063,2228,2026-05-17
MED004,Morphine,Critical Care,H05,5198,4277,2026-01-03
